City Index,Average Meets,Visitor Count,Total Meets
0,5.85714,35,205
1,5.2381,42,220
2,6.60714,28,185
3,6.40625,32,205
4,6.42857,35,225
5,4.23636,55,233
6,6.08108,37,225
7,7.21429,28,202
8,6.67742,31,207
9,7.42857,28,208
10,5.64865,37,209
11,5.51282,39,215
12,6.86207,29,199
13,10.6667,18,192
14,4.22449,49,207
15,5.64103,39,220
16,5.18421,38,197
17,4.64444,45,209
18,5.36585,41,220
19,7.92593,27,214
20,4.82927,41,198
21,6.48571,35,227
22,5.15556,45,232
23,4.5,50,225
24,5.13636,44,226
25,6.18919,37,229
26,5.93939,33,196
27,6.16667,36,222
28,5.325,40,213
29,5.30952,42,223
30,4.83333,42,203
31,6.19444,36,223
32,4.21569,51,215
33,6.17647,34,210
34,5.075,40,203
35,4.63265,49,227
36,5.12821,39,200
37,4.8,50,240
38,4.67391,46,215
39,5.09091,44,224
40,6.74194,31,209
41,6.11429,35,214
42,4.66667,48,224
43,6.78125,32,217
44,6.73333,30,202
45,6.13514,37,227
46,6.05714,35,212
47,5.11905,42,215
48,6.08824,34,207
49,5.11905,42,215
50,5.89189,37,218
51,4.92857,42,207
52,4.51111,45,203
53,7.12903,31,221
54,6.02703,37,223
55,4.42308,52,230
56,7.33333,27,198
57,7.76,25,194
58,6.06061,33,200
59,5.51282,39,215
60,6.25714,35,219
61,5.575,40,223
62,8.81818,22,194
63,4.81818,44,212
64,4.93478,46,227
65,7.65385,26,199
66,6.06061,33,200
67,4.64583,48,223
68,5.28571,42,222
69,5.31707,41,218
70,4.75556,45,214
71,7.3,30,219
72,5.15385,39,201
73,5.11905,42,215
74,5.8,35,203
75,4.93182,44,217
76,5.60976,41,230
77,7.96296,27,215
78,5.14634,41,211
79,6.64706,34,226
80,7.32143,28,205
81,6.05714,35,212
82,6.25714,35,219
83,5.225,40,209
84,8,24,192
85,5.77778,36,208
86,4.16667,54,225
87,6.5,32,208
88,4.53846,52,236
89,7.19355,31,223
90,6.87879,33,227
91,6.02778,36,217
92,7.24138,29,210
93,5,39,195
94,5.60976,41,230
95,6.81482,27,184
96,4.13115,61,252
97,5.27273,44,232
98,4.77551,49,234
99,4.63043,46,213
